STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
HHGT,HORSE HOLLOW GENERATION TIE,HHOLLOW3,224,5,219,WIND,2/14/21 12:00 AM,2/15/21 11:59 PM,HORSE HOLLOW GENERATION TIE LLC 3 (RE),TAYLOR
WAP,WA PARISH,WAP_G2,169,43,126,NG,2/14/21 12:00 AM,2/14/21 2:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,276,276,NG,2/14/21 12:00 AM,2/14/21 1:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
KARAKAW1,KARANKAWA1 WIND FARM,UNIT2,103,83,20,WIND,2/14/21 12:30 AM,2/14/21 3:50 PM,KARANKAWA WIND LLC B (RE),SAN PATRICIO
BULLCRK,BULL CREEK WIND,WND1,88,0,88,WIND,2/14/21 12:43 AM,2/16/21 1:48 AM,BULL CREEK WIND LLC (RE),BORDEN
BULLCRK,BULL CREEK WIND,WND2,90,0,90,WIND,2/14/21 12:43 AM,2/16/21 1:48 AM,BULL CREEK WIND LLC (RE),BORDEN
KARAKAW1,KARANKAWA1 WIND FARM,UNIT1,103,83,20,WIND,2/14/21 12:45 AM,2/14/21 3:50 PM,KARANKAWA WIND LLC B (RE),SAN PATRICIO
,,,,,,,2/14/21 12:55 AM,2/19/21 3:48 PM,,
WAP,WA PARISH,WAP_G4,552,340,212,NG,2/14/21 1:00 AM,2/14/21 2:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G2,169,39,130,NG,2/14/21 2:00 AM,2/14/21 3:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,272,280,NG,2/14/21 2:00 AM,2/14/21 3:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
LARDVFTN,LAREDO ENERGY CENTER,G4,97,36,61,NG,2/14/21 2:20 AM,2/14/21 4:08 AM,LAREDO LLC (RE),WEBB
LARDVFTN,LAREDO ENERGY CENTER,G5,94,36,58,NG,2/14/21 2:20 AM,2/14/21 4:08 AM,LAREDO LLC (RE),WEBB
BAFFIN,BAFFIN WIND PROJECT,UNIT1,100,2,98,WIND,2/14/21 2:42 AM,2/15/21 1:40 AM,AVANGRID TEXAS RENEWABLES LLC (RE),KENEDY
